date,product,category,quantity,sales,region
2024-04-27,Headphones,Books,9,2331,West
2024-04-28,Phone,Fashion,18,1467,West
2024-04-29,Laptop,Books,3,6950,East
2024-04-30,Laptop,Electronics,10,6777,West
2024-05-01,Tablet,Fashion,6,1104,North
2024-05-02,TV,Electronics,6,3155,West
2024-05-03,Headphones,Home,16,6139,North
2024-05-04,Headphones,Books,13,3433,West
2024-05-05,Phone,Books,17,7245,South
2024-05-06,Phone,Books,1,3850,East
2024-05-07,Headphones,Books,8,2227,West
2024-05-08,TV,Fashion,12,624,North
2024-05-09,TV,Books,6,1488,North
2024-05-10,Tablet,Home,8,2654,East
2024-05-11,Phone,Fashion,1,6437,East
2024-05-12,Tablet,Electronics,14,788,West
2024-05-13,Tablet,Home,9,8600,South
2024-05-14,Headphones,Fashion,4,3931,East
2024-05-15,Headphones,Electronics,6,7344,West
2024-05-16,Tablet,Books,7,3756,South
2024-05-17,TV,Home,10,9313,West
2024-05-18,TV,Fashion,2,4969,South
2024-05-19,TV,Home,19,5828,South
2024-05-20,TV,Electronics,18,203,North
2024-05-21,Tablet,Books,2,8242,West
2024-05-22,Tablet,Books,19,6706,East
2024-05-23,Phone,Books,4,3812,North
2024-05-24,TV,Home,3,9664,South
2024-05-25,Phone,Home,17,9487,North
2024-05-26,Tablet,Fashion,3,2054,North
2024-05-27,TV,Fashion,1,4132,West
2024-05-28,Phone,Fashion,5,2176,North
2024-05-29,TV,Books,12,4641,West
2024-05-30,Phone,Home,13,5863,South
2024-05-31,Laptop,Fashion,3,9807,West
2024-06-01,Tablet,Electronics,6,1271,South
2024-06-02,Phone,Fashion,10,6424,South
2024-06-03,Tablet,Electronics,11,1065,West
2024-06-04,Tablet,Fashion,9,3213,South
2024-06-05,Phone,Home,6,1621,South
2024-06-06,Laptop,Fashion,14,4351,West
2024-06-07,Tablet,Home,2,7288,East
2024-06-08,TV,Books,10,3702,West
2024-06-09,Headphones,Fashion,8,4245,East
2024-06-10,TV,Electronics,6,2816,South
2024-06-11,Tablet,Electronics,15,1094,South
2024-06-12,Headphones,Fashion,2,5888,East
2024-06-13,Tablet,Electronics,14,9399,West
2024-06-14,Phone,Fashion,17,2078,South
2024-06-15,Phone,Books,11,8013,South
2024-06-16,Phone,Books,1,5887,North
2024-06-17,Phone,Books,11,1039,West
2024-06-18,Headphones,Books,11,5798,South
2024-06-19,Phone,Home,19,1751,East
2024-06-20,Headphones,Home,15,5578,East
2024-06-21,Phone,Fashion,7,1650,East
2024-06-22,Headphones,Home,13,8459,South
2024-06-23,Headphones,Home,10,2314,West
2024-06-24,Phone,Electronics,15,1066,East
2024-06-25,Headphones,Books,19,556,North
2024-06-26,Headphones,Home,16,8366,East
2024-06-27,Phone,Books,4,3989,West
2024-06-28,Phone,Home,10,9385,West
2024-06-29,Laptop,Fashion,18,2747,East
2024-06-30,Headphones,Fashion,1,9637,North
2024-07-01,Headphones,Home,17,2372,West
2024-07-02,Tablet,Books,6,2136,North
2024-07-03,Tablet,Fashion,12,6384,South
2024-07-04,Tablet,Home,2,7898,North
2024-07-05,Phone,Home,10,7968,East
2024-07-06,TV,Home,7,6014,West
2024-07-07,Phone,Home,1,1235,South
2024-07-08,Phone,Books,18,7555,East
2024-07-09,TV,Books,8,6638,East
2024-07-10,Headphones,Books,7,4251,West
2024-07-11,Phone,Electronics,19,2991,East
2024-07-12,Phone,Electronics,7,6996,North
2024-07-13,Headphones,Electronics,14,9094,North
2024-07-14,Headphones,Fashion,11,3549,North
2024-07-15,Tablet,Electronics,3,2773,West
2024-07-16,Tablet,Books,13,1931,West
2024-07-17,Laptop,Fashion,10,2286,North
2024-07-18,TV,Electronics,5,8954,North
2024-07-19,Phone,Books,1,8322,South
2024-07-20,TV,Books,9,8350,East
2024-07-21,TV,Fashion,5,6528,East
2024-07-22,Laptop,Fashion,19,2155,East
2024-07-23,Phone,Electronics,11,2829,North
2024-07-24,Laptop,Fashion,4,2444,East
2024-07-25,Laptop,Electronics,10,1599,South
2024-07-26,Laptop,Home,2,8849,South
2024-07-27,TV,Books,15,6897,East
2024-07-28,TV,Home,8,5659,South
2024-07-29,TV,Books,18,6723,South
2024-07-30,Phone,Books,7,9135,West
2024-07-31,Phone,Fashion,16,4795,West
2024-08-01,Headphones,Electronics,9,6581,North
2024-08-02,Tablet,Fashion,18,4104,North
2024-08-03,Laptop,Fashion,6,9202,West
2024-08-04,Tablet,Electronics,14,3252,North
2024-08-05,Laptop,Electronics,7,2286,East
2024-08-06,Headphones,Books,14,9988,West
2024-08-07,Tablet,Electronics,16,8148,West
2024-08-08,Phone,Home,17,9669,West
2024-08-09,TV,Home,15,6590,West
2024-08-10,Phone,Books,8,3137,North
2024-08-11,Phone,Fashion,15,8092,East
2024-08-12,Laptop,Home,18,1882,West
2024-08-13,Tablet,Home,17,5699,East
2024-08-14,Headphones,Fashion,18,9403,North
2024-08-15,Tablet,Electronics,14,6466,North
2024-08-16,Phone,Home,12,3324,East
2024-08-17,Headphones,Home,3,5572,West
2024-08-18,Headphones,Home,13,9573,North
2024-08-19,TV,Fashion,5,7105,West
2024-08-20,TV,Books,12,3952,West
2024-08-21,Phone,Home,17,8361,South
2024-08-22,Laptop,Electronics,18,3227,West
2024-08-23,TV,Electronics,9,3762,East
2024-08-24,Headphones,Books,14,7441,West
2024-08-25,Laptop,Home,1,4347,South
2024-08-26,Laptop,Electronics,15,7374,North
2024-08-27,Laptop,Home,18,5590,North
2024-08-28,Headphones,Electronics,10,9615,South
2024-08-29,TV,Fashion,5,4695,East
2024-08-30,Headphones,Home,5,4000,West
2024-08-31,Headphones,Fashion,1,1792,West
2024-09-01,TV,Electronics,14,3712,West
2024-09-02,Headphones,Books,14,804,South
2024-09-03,Laptop,Books,14,8845,North
2024-09-04,Phone,Books,18,4022,East
2024-09-05,Tablet,Fashion,12,5542,West
2024-09-06,Laptop,Books,17,5762,East
2024-09-07,Phone,Books,4,2380,West
2024-09-08,Laptop,Books,7,3441,East
2024-09-09,Headphones,Fashion,11,6080,East
2024-09-10,Laptop,Home,4,5423,West
2024-09-11,Headphones,Electronics,18,3045,South
2024-09-12,Phone,Home,11,2547,West
2024-09-13,Headphones,Electronics,11,6660,West
2024-09-14,TV,Electronics,5,4496,North
2024-09-15,Laptop,Home,3,2978,East
2024-09-16,Tablet,Fashion,9,7228,North
2024-09-17,TV,Fashion,7,6766,West
2024-09-18,Headphones,Books,12,8770,South
2024-09-19,Headphones,Fashion,7,9856,West
2024-09-20,Phone,Books,15,6448,South
2024-09-21,TV,Fashion,17,3338,East
2024-09-22,Phone,Fashion,14,7557,North
2024-09-23,Tablet,Fashion,11,9675,West
2024-09-24,Tablet,Fashion,6,1370,West
2024-09-25,Laptop,Electronics,7,5091,North
2024-09-26,Tablet,Fashion,9,1796,East
2024-09-27,TV,Books,13,8034,North
2024-09-28,Laptop,Electronics,13,9944,West
2024-09-29,TV,Home,18,6687,South
2024-09-30,TV,Books,9,719,East
2024-10-01,Phone,Electronics,6,7858,West
2024-10-02,TV,Books,5,3677,West
2024-10-03,Laptop,Books,19,3164,North
2024-10-04,Laptop,Electronics,13,8316,North
2024-10-05,Headphones,Books,8,8206,South
2024-10-06,TV,Fashion,16,9357,North
2024-10-07,Laptop,Electronics,13,5468,North
2024-10-08,Tablet,Electronics,3,6216,North
2024-10-09,TV,Fashion,2,9963,South
2024-10-10,Headphones,Home,14,7653,East
2024-10-11,Laptop,Fashion,15,4412,North
2024-10-12,Laptop,Home,2,4521,West
2024-10-13,Headphones,Home,17,5086,North
2024-10-14,Phone,Home,18,6750,West
2024-10-15,Laptop,Books,15,5510,South
2024-10-16,Laptop,Books,17,5398,East
2024-10-17,TV,Home,14,4753,North
2024-10-18,Headphones,Books,10,2436,North
2024-10-19,Headphones,Electronics,11,6696,East
2024-10-20,Headphones,Electronics,8,1157,South
2024-10-21,Phone,Home,12,6864,North
2024-10-22,Tablet,Home,4,2255,South
2024-10-23,Phone,Electronics,10,5642,West
2024-10-24,Phone,Fashion,15,1517,North
2024-10-25,Headphones,Books,3,7189,North
2024-10-26,Phone,Electronics,6,9186,West
2024-10-27,Laptop,Home,15,6664,East
2024-10-28,Laptop,Home,17,4656,South
2024-10-29,Headphones,Electronics,14,6857,South
2024-10-30,Phone,Fashion,17,9928,North
2024-10-31,Phone,Books,10,6886,South
2024-11-01,Tablet,Fashion,4,5318,East
2024-11-02,Laptop,Books,19,2779,West
2024-11-03,Tablet,Books,15,7567,West
2024-11-04,Phone,Electronics,1,7788,North
2024-11-05,Tablet,Electronics,12,1791,West
2024-11-06,TV,Electronics,14,5631,North
2024-11-07,Tablet,Fashion,19,9604,East
2024-11-08,Tablet,Home,14,1363,West
2024-11-09,Phone,Electronics,19,7360,South
2024-11-10,Headphones,Electronics,1,7164,West
2024-11-11,TV,Electronics,1,3077,West
2024-11-12,Tablet,Electronics,1,6138,North
2024-11-13,Laptop,Fashion,11,2538,South
2024-11-14,Tablet,Electronics,18,6155,East
2024-11-15,Phone,Electronics,3,1185,East
2024-11-16,Tablet,Books,2,6602,North
2024-11-17,TV,Electronics,2,1651,West
2024-11-18,Laptop,Fashion,12,2450,East
2024-11-19,Phone,Home,1,693,South
2024-11-20,Phone,Home,12,6996,East
2024-11-21,Headphones,Electronics,19,1210,South
2024-11-22,TV,Books,16,8234,South
2024-11-23,TV,Home,4,5891,North
2024-11-24,Laptop,Electronics,16,2487,South
2024-11-25,Tablet,Electronics,4,7248,North
2024-11-26,Tablet,Fashion,18,9831,South
2024-11-27,TV,Fashion,14,9421,West
2024-11-28,TV,Electronics,6,5080,North
2024-11-29,Headphones,Electronics,12,6186,North
2024-11-30,Tablet,Electronics,3,547,North
2024-12-01,Tablet,Books,14,2548,North
2024-12-02,Laptop,Books,11,3967,South
2024-12-03,Laptop,Fashion,19,5994,South
2024-12-04,Tablet,Books,15,4988,South
2024-12-05,Laptop,Fashion,19,6523,North
2024-12-06,Laptop,Home,9,155,West
2024-12-07,TV,Electronics,12,6604,East
2024-12-08,Phone,Home,13,163,North
2024-12-09,Laptop,Books,15,8066,East
2024-12-10,Laptop,Electronics,1,5446,South
2024-12-11,TV,Books,13,9743,East
2024-12-12,Tablet,Books,5,9233,East
2024-12-13,TV,Books,10,4838,West
2024-12-14,Laptop,Electronics,3,3784,East
2024-12-15,Headphones,Fashion,15,5604,West
2024-12-16,Phone,Home,10,6499,North
2024-12-17,Laptop,Books,11,5504,North
2024-12-18,Laptop,Books,14,7231,West
2024-12-19,TV,Electronics,2,8040,North
2024-12-20,Phone,Books,14,4140,North
2024-12-21,TV,Books,4,3436,North
2024-12-22,Laptop,Fashion,16,6565,North
2024-12-23,TV,Home,6,5624,South
2024-12-24,TV,Books,1,4516,South
2024-12-25,Phone,Electronics,18,6457,North
2024-12-26,Headphones,Fashion,1,5824,South
2024-12-27,Headphones,Fashion,13,4221,West
2024-12-28,Headphones,Electronics,9,1704,South
2024-12-29,TV,Books,14,8124,South
2024-12-30,TV,Home,16,6439,North
2024-12-31,Phone,Books,12,9711,East
2025-01-01,TV,Fashion,1,3938,North
2025-01-02,Headphones,Fashion,3,9333,West
2025-01-03,Headphones,Books,3,4647,North
2025-01-04,Phone,Fashion,2,233,South
2025-01-05,Phone,Books,17,4465,East
2025-01-06,Tablet,Home,12,5286,North
2025-01-07,TV,Books,14,894,East
2025-01-08,Laptop,Books,6,7847,South
2025-01-09,Tablet,Books,9,1990,East
2025-01-10,Phone,Fashion,11,2710,West
2025-01-11,Phone,Books,5,2008,East
2025-01-12,Headphones,Books,17,7644,South
2025-01-13,Tablet,Home,1,9990,North
2025-01-14,Tablet,Fashion,8,2665,East
2025-01-15,Tablet,Books,4,954,North
2025-01-16,TV,Books,17,6153,North
2025-01-17,Laptop,Electronics,7,9662,North
2025-01-18,Headphones,Electronics,6,2725,West
2025-01-19,TV,Electronics,6,4349,North
2025-01-20,TV,Fashion,12,6000,East
2025-01-21,Laptop,Electronics,2,6891,East
2025-01-22,Phone,Books,4,115,West
2025-01-23,Laptop,Home,10,2741,North
2025-01-24,Tablet,Books,7,4657,East
2025-01-25,TV,Electronics,18,9870,West
2025-01-26,Phone,Electronics,2,8510,East
2025-01-27,TV,Books,8,1677,West
2025-01-28,Laptop,Home,6,6097,East
2025-01-29,TV,Books,2,3178,North
2025-01-30,Phone,Electronics,13,6070,East
2025-01-31,TV,Electronics,18,8537,East
2025-02-01,Phone,Home,18,3873,East
2025-02-02,TV,Electronics,14,1282,South
2025-02-03,Headphones,Books,6,5699,North
2025-02-04,Headphones,Books,7,3404,North
2025-02-05,Laptop,Electronics,6,7347,South
2025-02-06,Headphones,Books,8,8790,South
2025-02-07,Phone,Home,12,1820,West
2025-02-08,Headphones,Electronics,7,5759,South
2025-02-09,Phone,Home,6,7894,West
2025-02-10,TV,Home,4,319,East
2025-02-11,TV,Fashion,16,9185,West
2025-02-12,TV,Home,16,886,South
2025-02-13,Headphones,Books,10,319,South
2025-02-14,TV,Fashion,9,5969,North
2025-02-15,Headphones,Electronics,4,2109,North
2025-02-16,Tablet,Home,5,8702,East
2025-02-17,Phone,Electronics,5,1464,North
2025-02-18,Laptop,Books,17,9996,East
2025-02-19,Tablet,Fashion,17,2226,South
2025-02-20,Tablet,Home,15,7428,West
2025-02-21,Laptop,Books,3,2974,West
2025-02-22,Tablet,Electronics,5,2900,North
2025-02-23,Phone,Books,2,8138,East
2025-02-24,Headphones,Books,1,4383,West
2025-02-25,Phone,Home,6,418,West
2025-02-26,Laptop,Books,13,5815,North
2025-02-27,Laptop,Electronics,6,7292,East
2025-02-28,TV,Books,7,767,West
2025-03-01,Laptop,Fashion,6,5038,North
2025-03-02,Phone,Electronics,16,3221,West
2025-03-03,Laptop,Electronics,16,7061,West
2025-03-04,Laptop,Home,2,6355,North
2025-03-05,Tablet,Fashion,19,7348,North
2025-03-06,Laptop,Electronics,1,5018,South
2025-03-07,TV,Electronics,16,5858,East
2025-03-08,Tablet,Home,19,8906,North
2025-03-09,Laptop,Home,17,1654,West
2025-03-10,Headphones,Home,16,4346,West
2025-03-11,Headphones,Electronics,19,7042,East
2025-03-12,Laptop,Home,11,7244,West
2025-03-13,Headphones,Books,6,8464,South
2025-03-14,Headphones,Books,13,9390,South
2025-03-15,TV,Fashion,16,6522,West
2025-03-16,Tablet,Electronics,5,6432,East
2025-03-17,Laptop,Home,2,478,East
2025-03-18,Phone,Fashion,5,150,East
2025-03-19,TV,Books,10,7946,East
2025-03-20,Headphones,Books,13,1973,South
2025-03-21,TV,Fashion,5,8520,West
2025-03-22,Tablet,Electronics,19,6306,West
2025-03-23,Phone,Home,17,9327,North
2025-03-24,TV,Home,2,7118,East
2025-03-25,Headphones,Home,17,8944,South
2025-03-26,Headphones,Electronics,5,9544,South
2025-03-27,Tablet,Electronics,4,9664,South
2025-03-28,Laptop,Fashion,19,7147,East
2025-03-29,Headphones,Fashion,10,4073,North
2025-03-30,Laptop,Electronics,17,3729,North
2025-03-31,Laptop,Electronics,13,2133,West
2025-04-01,Tablet,Electronics,9,9419,West
2025-04-02,TV,Electronics,4,3744,North
2025-04-03,Headphones,Home,14,8718,West
2025-04-04,Headphones,Home,11,5277,South
2025-04-05,TV,Home,8,7641,North
2025-04-06,Headphones,Home,17,1822,North
2025-04-07,Headphones,Fashion,19,359,West
2025-04-08,Tablet,Home,15,1166,North
2025-04-09,Phone,Electronics,7,8523,North
2025-04-10,TV,Home,6,3384,North
2025-04-11,Phone,Home,17,986,South
2025-04-12,Laptop,Home,13,3148,West
2025-04-13,Laptop,Fashion,6,8700,East
2025-04-14,TV,Home,9,7046,West
2025-04-15,Phone,Fashion,4,3508,South
2025-04-16,Phone,Electronics,11,2053,North
2025-04-17,Tablet,Electronics,4,4620,East
2025-04-18,Headphones,Fashion,15,3202,West
2025-04-19,Laptop,Electronics,9,4064,South
2025-04-20,Tablet,Fashion,7,7748,East
2025-04-21,Laptop,Electronics,12,2834,South
2025-04-22,Phone,Books,6,5766,West
2025-04-23,Phone,Fashion,2,989,South
2025-04-24,Tablet,Electronics,8,8752,North
2025-04-25,Phone,Home,1,8169,North
2025-04-26,Tablet,Fashion,3,1092,North
2025-04-27,TV,Fashion,11,3205,West
2025-04-28,Phone,Electronics,14,458,East
2025-04-29,Headphones,Fashion,14,4309,North
2025-04-30,Phone,Electronics,19,2448,West
2025-05-01,Phone,Home,14,7479,North
2025-05-02,Tablet,Home,14,8011,South
2025-05-03,Headphones,Electronics,2,5826,North
2025-05-04,Phone,Home,5,2037,South
2025-05-05,Headphones,Fashion,13,6909,East
2025-05-06,Laptop,Electronics,18,3568,West
2025-05-07,Phone,Home,9,3519,East
2025-05-08,TV,Home,8,7993,North
2025-05-09,Headphones,Electronics,2,5266,West
2025-05-10,Phone,Books,14,6497,West
2025-05-11,Tablet,Home,3,9470,South
2025-05-12,Tablet,Fashion,2,6053,North
2025-05-13,Headphones,Fashion,19,7483,North
2025-05-14,TV,Fashion,4,8940,East
2025-05-15,Headphones,Books,1,4518,North
2025-05-16,Laptop,Books,16,6571,East
2025-05-17,Headphones,Home,4,1787,South
2025-05-18,TV,Books,9,9616,South
2025-05-19,Headphones,Books,9,5805,East
2025-05-20,Phone,Electronics,11,1715,North
2025-05-21,TV,Home,1,9149,North
2025-05-22,Tablet,Home,9,5491,North
2025-05-23,Headphones,Fashion,11,5499,East
2025-05-24,Laptop,Books,5,2192,North
2025-05-25,TV,Books,15,5296,West
2025-05-26,Laptop,Home,18,4888,South
2025-05-27,Headphones,Fashion,15,5690,East
2025-05-28,TV,Electronics,19,5033,West
2025-05-29,TV,Electronics,12,5927,South
2025-05-30,Phone,Books,19,4501,North
2025-05-31,Phone,Books,12,8013,North
2025-06-01,TV,Electronics,17,1391,East
2025-06-02,Laptop,Books,6,1114,North
2025-06-03,Tablet,Books,19,5039,West
2025-06-04,Headphones,Home,17,6785,East
2025-06-05,TV,Electronics,1,5358,West
2025-06-06,TV,Electronics,13,3422,North
2025-06-07,Laptop,Fashion,8,8959,South
2025-06-08,Headphones,Home,4,2705,East
2025-06-09,Phone,Home,6,852,East
2025-06-10,Tablet,Electronics,7,2894,West
2025-06-11,Laptop,Books,14,6894,East
2025-06-12,TV,Books,2,2271,North
2025-06-13,TV,Electronics,14,9596,East
2025-06-14,Phone,Fashion,19,4789,East
2025-06-15,Headphones,Home,12,7461,North
2025-06-16,Laptop,Fashion,10,5451,West
2025-06-17,Tablet,Home,15,3697,West
2025-06-18,Phone,Books,14,4121,South
2025-06-19,TV,Home,10,2808,North
2025-06-20,Headphones,Fashion,2,4223,North
2025-06-21,TV,Electronics,18,8445,South
2025-06-22,Tablet,Electronics,5,2322,East
2025-06-23,Headphones,Fashion,7,7712,East
2025-06-24,Phone,Books,16,6851,North
2025-06-25,Phone,Books,11,7808,West
2025-06-26,Phone,Electronics,3,1506,South
2025-06-27,Laptop,Home,16,2782,South
2025-06-28,Laptop,Books,19,9805,South
2025-06-29,Laptop,Fashion,13,4231,South
2025-06-30,Laptop,Fashion,11,6363,North
2025-07-01,TV,Fashion,5,6210,East
2025-07-02,Phone,Electronics,13,4364,East
2025-07-03,Tablet,Books,7,600,South
2025-07-04,Phone,Home,6,7693,East
2025-07-05,Tablet,Books,17,3671,South
2025-07-06,TV,Books,5,3427,East
2025-07-07,Tablet,Electronics,11,1156,South
2025-07-08,Headphones,Books,7,7587,East
2025-07-09,Headphones,Books,2,9780,East
2025-07-10,Laptop,Home,4,1444,East
2025-07-11,Tablet,Fashion,11,691,East
2025-07-12,Headphones,Books,12,2366,West
2025-07-13,Phone,Fashion,14,898,North
2025-07-14,TV,Electronics,2,7331,East
2025-07-15,Headphones,Electronics,13,9028,East
2025-07-16,Tablet,Books,19,6560,West
2025-07-17,Phone,Electronics,14,2258,North
2025-07-18,Phone,Books,9,7241,East
2025-07-19,Phone,Books,8,7001,West
2025-07-20,TV,Electronics,13,6244,East
2025-07-21,Phone,Electronics,4,8429,North
2025-07-22,Phone,Home,18,5569,North
2025-07-23,Tablet,Fashion,12,5959,South
2025-07-24,TV,Home,16,5756,North
2025-07-25,TV,Home,9,329,South
2025-07-26,TV,Home,15,9071,East
2025-07-27,Phone,Fashion,2,5285,East
2025-07-28,Headphones,Home,4,5811,East
2025-07-29,Tablet,Fashion,12,5764,South
2025-07-30,Headphones,Fashion,7,1660,South
2025-07-31,Tablet,Electronics,15,384,West
2025-08-01,Headphones,Home,4,6323,South
2025-08-02,Phone,Home,18,1272,North
2025-08-03,Tablet,Home,17,2319,West
2025-08-04,TV,Home,12,5897,South
2025-08-05,TV,Books,12,6507,South
2025-08-06,Tablet,Home,1,1904,West
2025-08-07,Phone,Electronics,9,1507,North
2025-08-08,Tablet,Books,17,6432,South
2025-08-09,Phone,Home,15,744,North
2025-08-10,TV,Home,18,823,East
2025-08-11,TV,Fashion,10,8654,East
2025-08-12,Headphones,Home,15,844,East
2025-08-13,TV,Books,2,2277,West
2025-08-14,Tablet,Home,11,6995,South
2025-08-15,Phone,Fashion,5,2044,South
2025-08-16,TV,Electronics,4,5828,East
2025-08-17,TV,Home,17,3463,North
2025-08-18,Headphones,Home,15,2049,South
2025-08-19,Headphones,Electronics,4,7315,North
2025-08-20,TV,Electronics,5,4611,North
2025-08-21,Laptop,Fashion,2,9100,West
2025-08-22,Headphones,Books,9,3706,East
2025-08-23,Headphones,Electronics,11,221,East
2025-08-24,TV,Home,18,9610,South
2025-08-25,Laptop,Fashion,10,9191,West
2025-08-26,TV,Fashion,8,5884,West
2025-08-27,Headphones,Electronics,4,7922,West
2025-08-28,TV,Electronics,4,6026,West
2025-08-29,TV,Fashion,11,1167,East
2025-08-30,TV,Home,13,2479,East
2025-08-31,TV,Home,10,2452,North
2025-09-01,Laptop,Home,16,8345,North
2025-09-02,TV,Home,6,7411,West
2025-09-03,Headphones,Fashion,4,8909,East
2025-09-04,Laptop,Home,3,5102,East
2025-09-05,TV,Electronics,5,6778,North
2025-09-06,Laptop,Fashion,14,263,South
2025-09-07,Tablet,Fashion,17,5304,West
2025-09-08,TV,Fashion,2,4344,South
2025-09-09,TV,Electronics,9,3065,North
2025-09-10,Laptop,Electronics,4,1484,East
2025-09-11,Laptop,Fashion,13,4977,South
2025-09-12,TV,Home,6,6311,North
2025-09-13,Phone,Home,19,867,West
2025-09-14,TV,Home,19,6691,South
2025-09-15,Phone,Electronics,13,4389,East
2025-09-16,Headphones,Books,1,1127,North
2025-09-17,Headphones,Electronics,11,2278,West
2025-09-18,TV,Home,17,7492,West
